[INFO]: No checkpoint found, start to train a new model...
[STATE]: Oberve, [FRAMES]: 235, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 236, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 237, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 238, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 239, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 240, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 241, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 242, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 243, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 244, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 245, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 246, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 247, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 248, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 249, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 250, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 251, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 252, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 253, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 254, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 255, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 256, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 257, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 258, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 259, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 260, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 261, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 262, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 263, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 264, [GAMES]: 0, [WINS]: 0...
